Champion	Picks	Bans	Presence	Wins	Losses	Winrate	KDA	Avg_BT	GT	CSM	DPM	GPM	CSD@15	GD@15	XPD@15
Alistar		517	247	10		249	268	48	2.8	8.3	32:06	1.0	129	231	0.4	-73	-70
Vi		408	348	10		192	216	47	2.5	6.2	32:05	5.2	269	327	-1.6	-140	-62
Yone		346	364	9		172	174	50	2.7	6.3	31:41	8.8	495	418	0.7	64	120
Nami		627	52	9		334	293	53	4.8	7.0	32:43	0.5	197	250	-8.7	-8	-6
Kennen		381	292	9		179	202	47	2.2	8.1	31:55	7.7	535	379	3.6	83	33
Olaf		272	322	8		138	134	51	2.5	6.3	32:33	7.2	448	379	10.7	327	245
Twitch		316	253	7		154	162	49	3.4	5.4	32:32	8.2	592	412	-9.5	-260	-115
Sion		387	153	7		187	200	48	2.8	7.7	32:11	7.3	372	350	-9.8	-444	-101
Sett		345	187	7		167	178	48	2.1	7.6	31:48	4.4	328	313	-1.3	18	-40
Yasuo		247	282	7		116	131	47	2.6	6.0	31:12	8.5	354	407	1.2	-3	-35
Lillia		189	305	6		81	108	43	3.0	4.1	31:23	7.0	508	367	10.9	181	296
Kayle		187	294	6		91	96	49	2.9	7.1	32:52	9.4	513	433	-3	-230	-35
Amumu		304	171	6		150	154	49	2.4	7.2	31:41	1.1	178	235	3.7	-45	-77
Tristana	292	145	6		124	168	42	3.0	7.1	31:08	9.2	475	443	0.5	290	75
Pyke		200	232	6		109	91	55	2.5	6.2	32:19	1.6	198	283	6.7	237	-40
Zilean		222	201	5		100	122	45	4.5	6.5	32:23	4.0	230	281	-3.7	-230	192
Malphite	163	213	5		86	77	53	3.0	8.7	31:13	6.7	398	338	-18.1	-809	-174
Nocturne	199	168	5		102	97	51	3.1	5.8	31:43	5.8	295	342	4.6	86	137
Akshan		111	248	5		55	56	50	2.7	5.4	31:28	8.2	458	405	4.5	315	26
Miss_Fortune	232	121	5		112	120	48	3.7	6.8	32:19	8.7	641	418	1.7	7	18
Varus		259	91	5		116	143	45	3.3	6.9	32:13	8.7	544	411	2.9	33	33
Rell		222	122	4		115	107	52	2.6	6.6	32:07	1.1	136	233	2.7	-47	-69
Samira		129	208	4		68	61	53	3.4	5.2	30:39	8.6	464	441	-1.2	37	16
Nidalee		116	217	4		54	62	47	3.7	3.2	31:35	6.5	484	382	11.5	439	439
Karthus		99	203	4		44	55	44	2.5	2.9	31:57	7.6	798	410	12.4	147	429
Lux		196	95	4		108	88	55	3.4	5.8	32:44	1.5	344	266	-7.5	287	68
Belveth		105	186	4		55	50	52	3.4	4.2	30:22	6.5	344	382	10.1	463	302
Ashe		208	79	4		98	110	47	3.9	7.3	32:03	6.0	454	349	-3.5	-63	-29
Udyr		153	110	3		55	98	36	2.3	5.4	31:37	6.3	224	338	14.1	90	336
Darius		91	168	3		53	38	58	2.8	6.1	32:41	8.0	429	412	10.9	571	79
Ziggs		137	102	3		56	81	41	3.3	5.8	32:17	8.7	680	409	-5.9	-46	-45
RekSai		105	108	3		48	57	46	2.4	4.8	31:19	5.6	317	352	1.7	311	69
Rumble		97	97	2		50	47	52	3.5	6.1	32:04	6.6	605	376	2.6	360	247
Shyvana		139	52	2		63	76	45	3.0	7.0	32:23	8.1	572	387	-0.5	-243	178
Kindred		88	90	2		45	43	51	2.9	6.1	31:57	6.8	433	383	7.8	327	277
KogMaw		103	66	2		43	60	42	3.1	6.6	33:13	9.1	674	416	-1.9	-188	-104
Vladimir	98	65	2		46	52	47	3.3	7.9	32:56	8.2	587	394	6.9	142	288
Blitzcrank	103	56	2		60	43	58	2.7	7.8	31:20	1.1	171	240	2.2	3	-103
Urgot		77	82	2		32	45	42	2.4	5.8	31:59	8.2	399	398	-1.1	-104	-50
Cassiopeia	89	67	2		45	44	51	3.1	5.9	32:24	8.7	550	412	6.7	94	-39
Soraka		104	52	2		43	61	41	3.7	6.4	31:02	2.7	169	258	-14.2	-405	-108
Xerath		71	75	2		25	46	35	4.0	7.0	33:19	8.0	781	397	-5.1	45	54
Bard		102	33	2		51	51	50	3.7	7.6	32:36	1.0	217	243	-8.8	-126	-134
Riven		52	75	2		18	34	35	2.1	5.3	31:42	8.2	351	393	-4.5	-216	-259
Talon		52	72	2		25	27	48	2.8	4.3	31:39	6.8	420	391	3.5	29	200
Kassadin	40	82	2		18	22	45	3.5	5.5	31:32	8.7	545	414	-4.8	-422	-62
Maokai		59	55	1		28	31	47	2.8	4.4	31:11	4.5	395	297	-11.2	-435	-341
Mordekaiser	71	41	1		33	38	46	2.2	8.0	31:05	7.9	502	384	8.6	357	303
Vayne		82	29	1		35	47	43	2.7	8.4	30:06	8.5	488	421	-0.3	-203	-87
Janna		58	47	1		28	30	48	4.0	6.1	33:36	0.6	95	232	-21.6	-560	-770
Pantheon	45	60	1		23	22	51	2.8	4.3	30:34	5.5	383	354	4.7	255	147
KhaZix		47	53	1		27	20	57	3.6	4.5	31:14	6.0	426	370	0.2	-52	-68
Qiyana		52	45	1		22	30	42	2.9	3.9	32:42	6.5	445	376	0	83	99
Shen		53	38	1		23	30	43	3.7	5.8	31:31	5.3	288	318	-11.8	-502	-131
Skarner		54	32	1		27	27	50	3.3	7.9	34:12	4.8	170	304	-1.6	-182	-120
VelKoz		36	43	1		20	16	56	5.0	5.2	33:36	8.2	740	408	4	141	66
Morgana		58	20	1		26	32	45	3.3	7.5	32:32	2.4	306	272	-2.2	219	205
Taric		52	26	1		20	32	38	2.9	8.1	31:24	1.3	111	236	4.3	-107	179
Nilah		42	36	1		17	25	40	3.0	5.4	33:24	9.2	398	430	-4.1	101	764
Ekko		27	50	1		8	19	30	2.3	5.4	30:10	8.5	502	427	1	342	237
Zac		45	29	1		23	22	51	3.2	5.3	32:17	5.4	337	324	-7.2	-342	-164
Zed 		43	31	1		24	19	56	3.2	6.7	32:48	7.1	431	392	4.9	163	411
Evelynn		16	55	1		10	6	63	3.0	2.9	28:00	5.9	471	364	2.4	49	536
Rengar		25	46	1		13	12	52	2.8	3.2	31:05	6.3	453	380	5	242	235
Dr.Mundo	40	30	1		17	23	43	2.6	7.5	32:33	7.6	549	363	-1.1	-192	-4
Kayn		39	26	1		14	25	36	2.2	3.7	31:29	6.6	439	378	4.5	-19	54
Ivern		29	32	1		16	13	55	4.2	3.2	29:17	5.1	188	298	-23.3	-919	-505
Sona		49	10	1		24	25	49	3.7	7.7	32:17	0.7	169	238	-4.6	-84	33
Nasus		37	21	1		16	21	43	2.1	7.5	30:13	6.2	443	354	-19.4	-965	-400
Chogath		41	9	1		21	20	51	2.4	7.9	32:15	7.2	365	358	-5.1	-284	-153
Annie		12	37	1		7	5	58	3.7	3.9	31:01	7.3	569	382	4.3	25	-278
Anivia		21	25	1		9	12	43	2.7	7.0	30:31	8.4	479	382	3.7	289	143
Heimerdinger	22	23	1		6	16	27	1.7	3.8	32:42	5.2	510	321	-0.7	-26	209
Kled		13	23	0		8	5	62	3.7	5.4	34:50	7.6	444	393	-9.7	-201	-76
Fiddlesticks	11	19	0		3	8	27	1.7	4.3	32:36	5.4	360	315	2	-301	128
Shaco		11	17	0		6	5	55	3.5	4.9	32:09	5.4	359	348	-4	137	-159
Singed		17	10	0		10	7	59	2.4	6.5	31:14	5.1	289	312	-14.9	-546	-388
Malzahar	15	5	0		8	7	53	3.2	8.2	31:03	7.9	412	378	-7.4	-332	272
Aurelion_Sol	4	13	0		3	1	75	7.4	2.1	32:27	8.2	557	417	-20	-508	-422
